CO_TAZID,Enrol_Elem,Enrol_Midl,Enrol_High
57014,547,0,0
57031,0,0,24
57063,0,266,0
57064,0,0,0
110012,603,0,0
110013,442,0,0
110014,863,1556,0
110017,819,0,0
110028,594,0,0
110029,529,0,0
110030,407,0,0
110035,465,0,0
110043,354,0,0
110044,0,927,0
110046,341,0,0
110055,741,0,0
110057,370,298,0
110060,0,0,0
110062,427,0,0
110065,430,0,0
110074,447,0,0
110078,690,941,0
110079,0,0,2040
110080,0,95,167
110082,0,0,0
110084,602,0,0
110088,730,0,2607
110090,0,0,0
110093,0,1218,0
110094,1500,0,0
110096,600,0,0
110097,0,0,43
110100,914,0,0
110109,695,0,0
110112,0,0,1120
110113,522,0,0
110115,18,0,0
110116,0,0,0
110117,644,0,0
110119,0,960,0
110120,0,0,1991
110121,325,0,0
110124,0,0,0
110128,0,0,44
110131,442,0,0
110133,507,0,0
110137,565,0,0
110140,291,879,0
110141,0,0,2229
110142,361,0,0
110144,0,1125,0
110145,682,0,0
110147,705,262,0
110151,869,0,0
110156,520,0,0
110158,0,0,0
110162,622,1226,0
110163,587,0,0
110166,542,972,0
110170,0,0,0
110173,0,0,0
110177,1082,0,0
110179,555,858,0
110180,0,10,2653
110181,993,957,0
110183,484,0,0
110184,644,0,0
110196,614,0,0
110203,454,0,0
110204,721,0,0
110205,299,86,2191
110206,549,1266,0
110207,0,0,267
110214,414,0,0
110217,522,0,0
110227,0,0,0
110228,386,0,0
110231,332,971,0
110238,642,0,0
110244,312,0,0
110245,0,630,1568
110246,338,0,0
110251,5,0,0
110253,431,0,0
110254,509,0,0
110257,0,674,0
110258,0,0,1545
110259,473,0,0
110260,552,20,0
110263,0,954,0
110268,0,1092,0
110269,465,0,0
110271,596,0,0
110276,0,0,0
110283,457,0,0
110284,0,0,82
110285,548,0,0
110291,0,0,1555
110295,1005,0,0
110299,15,0,0
110303,578,0,0
110304,349,0,0
110307,764,256,0
350036,0,542,0
350046,318,0,0
350048,292,0,0
350055,574,81,0
350056,370,0,366
350057,0,0,0
350064,334,0,0
350069,361,0,0
350076,381,0,0
350079,420,0,0
350089,0,795,1717
350090,0,0,0
350091,356,0,0
350102,0,0,0
350134,292,89,0
350138,235,44,0
350141,0,360,0
350144,388,0,0
350156,417,0,0
350159,312,0,0
350171,0,0,0
350183,17,0,0
350191,0,47,46
350197,6,13,26
350205,0,0,0
350219,13,0,0
350221,0,0,0
350235,0,415,0
350254,0,0,0
350257,506,280,727
350260,262,89,1771
350261,403,233,224
350272,1057,407,0
350273,352,82,0
350276,314,0,0
350287,0,0,254
350289,417,0,0
350290,0,0,0
350292,0,0,0
350296,464,0,0
350299,414,0,0
350313,592,680,0
350318,0,0,0
350326,478,0,0
350330,396,0,0
350331,3,0,0
350336,0,567,0
350340,453,0,0
350359,0,37,6
350363,432,0,0
350364,401,485,0
350366,0,0,0
350372,0,0,1972
350386,35,5,0
350390,412,72,0
350393,221,70,0
350394,478,0,0
350401,516,0,2770
350402,448,0,0
350404,386,89,0
350407,410,0,0
350409,675,0,0
350411,403,1052,0
350421,0,0,0
350422,195,70,361
350426,643,0,224
350428,567,135,0
350431,37,0,0
350433,484,0,0
350437,1652,142,0
350441,670,585,305
350442,27,0,0
350443,542,0,0
350445,257,361,262
350447,468,0,0
350450,723,0,0
350453,576,0,0
350456,476,0,0
350461,511,725,0
350467,411,0,0
350468,0,668,0
350469,435,0,0
350470,426,0,0
350473,354,0,0
350474,409,0,0
350476,0,0,3267
350481,673,0,0
350486,0,0,0
350489,399,0,0
350490,466,0,0
350500,437,0,0
350501,0,0,2490
350507,20,0,0
350508,304,0,0
350509,0,548,0
350512,429,0,0
350513,323,774,0
350518,272,0,0
350521,380,0,0
350531,483,0,0
350542,68,23,0
350551,372,0,95
350571,0,800,0
350590,0,0,0
350591,1027,89,169
350592,18,80,448
350594,115,0,0
350596,300,0,0
350597,524,0,0
350599,271,0,0
350600,674,0,0
350603,0,0,0
350614,10,633,4
350616,44,14,0
350621,615,0,0
350625,444,830,2176
350634,505,0,0
350643,0,0,0
350649,279,521,0
350650,0,0,36
350653,0,0,0
350654,507,0,0
350655,385,0,0
350656,0,731,0
350657,315,917,0
350661,0,0,2321
350662,480,0,0
350663,136,25,0
350665,454,0,0
350666,0,0,0
350670,364,0,0
350671,326,0,0
350676,62,1055,0
350680,399,0,0
350684,509,0,0
350687,0,0,25
350693,547,28,2699
350696,408,0,0
350697,0,1023,0
350699,0,0,0
350700,11,14,14
350701,553,0,0
350702,495,0,0
350704,0,0,0
350709,7,0,0
350719,0,0,0
350721,4,0,0
350724,0,0,0
350726,669,0,0
350731,454,0,0
350738,0,0,1360
350739,0,698,0
350743,433,619,0
350744,34,13,51
350745,417,0,0
350747,0,0,62
350748,584,0,1911
350751,322,0,0
350753,0,0,0
350754,244,0,0
350756,323,0,0
350760,0,0,0
350768,467,0,0
350770,437,0,0
350771,0,0,2156
350772,566,0,0
350774,12,0,0
350778,661,162,0
350781,0,807,0
350783,0,637,0
350786,5,0,0
350789,340,0,0
350792,542,0,0
350795,127,67,69
350796,298,0,0
350797,332,43,0
350804,0,0,0
350807,0,0,0
350811,674,0,0
350813,596,0,0
350817,525,0,0
350818,596,0,0
350820,320,1001,0
350821,403,0,0
350827,872,0,0
350828,547,215,0
350829,0,1170,0
350830,723,0,0
350834,1073,0,0
350836,15,765,1760
350838,0,0,0
350839,229,133,316
350841,694,1383,0
350844,631,0,0
350847,462,0,0
350848,0,0,165
350850,592,0,0
350851,0,0,98
350853,497,0,2845
350855,0,0,366
350860,591,0,0
350871,0,0,0
350873,0,0,0
350874,0,0,0
350876,0,0,0
350877,1,16,5
350882,479,0,0
350897,0,0,0
350900,0,0,2425
350902,30,22,27
350906,630,805,0
350909,606,0,0
350916,308,0,0
350918,0,0,0
350919,219,0,0
350928,492,0,0
350930,600,914,0
350935,0,0,2437
350938,24,0,0
350941,471,0,0
350946,0,913,0
350947,364,0,0
350952,560,0,0
350953,340,0,0
350954,359,0,0
350963,553,0,0
350967,0,0,0
350970,0,0,0
350972,490,0,0
350973,0,0,0
350974,0,0,40
350978,801,0,0
350979,0,943,0
350983,0,0,1820
350986,0,302,309
350987,626,0,0
350988,697,264,234
350989,164,40,0
350996,0,516,0
351000,628,0,0
351006,568,0,0
351024,468,0,63
351026,560,0,0
351027,0,0,2276
351028,647,0,0
351033,343,1075,0
351034,13,0,0
351036,516,0,0
351040,701,0,0
351042,580,0,0
351044,637,0,0
351050,0,1152,0
351053,0,1189,0
351062,854,1517,174
351066,0,0,2460
351069,902,0,0
351073,792,0,0
351078,783,0,0
351080,0,0,27
351081,863,0,0
351082,0,0,0
351084,0,13,349
351091,26,0,0
351096,96,25,19
351106,701,0,0
351108,369,82,0
351109,0,0,0
351110,0,180,173
351114,621,0,0
351116,731,292,0
351118,354,0,0
351119,1158,41,2521
351120,0,1094,0
351127,879,0,0
351131,566,0,0
351132,679,0,0
351139,704,0,0
351142,1257,0,2746
351144,0,1200,0
351147,782,0,0
351152,1047,559,434
351153,0,0,397
351157,759,0,0
351160,86,21,0
351161,0,0,2302
351164,575,4,6
351170,649,0,0
351173,592,1263,0
351174,0,0,0
351175,0,0,0
351182,0,0,0
351183,657,0,0
351185,838,0,0
351188,0,1182,0
351190,128,48,110
351193,19,0,0
351197,0,0,0
351202,0,0,1
351204,96,237,0
351205,0,0,0
351206,1070,491,228
351208,0,0,0
351213,0,0,0
351214,0,0,0
351217,0,0,0
351218,680,0,0
351219,0,1414,0
351224,499,105,0
351226,0,0,2437
351227,0,0,0
351230,563,0,0
351232,0,0,0
351241,488,0,0
351259,359,163,0
351260,736,0,0
351261,537,0,0
351273,0,0,599
351277,831,937,0
351278,607,223,0
351291,11,0,0
490025,106,0,0
490101,831,0,0
490140,0,0,3325
490144,0,1793,0
490147,776,0,0
490160,892,0,0
490181,1087,0,0
490205,821,0,0
490210,0,109,178
490217,361,0,0
490218,975,0,0
490219,1074,0,0
490238,690,0,0
490246,851,0,0
490253,723,0,0
490260,782,0,0
490263,0,1480,0
490279,1844,1987,112
490280,0,0,3155
490282,0,0,34
490284,821,0,0
490291,461,32,0
490300,637,0,0
490309,958,0,0
490310,988,0,0
490315,1111,0,0
490322,769,0,0
490327,574,0,0
490333,0,0,0
490341,0,1594,0
490344,521,126,0
490345,932,0,0
490350,1057,0,0
490354,0,0,2299
490356,476,0,0
490362,604,0,0
490363,0,1382,0
490374,0,169,188
490377,824,0,0
490387,0,0,0
490388,234,0,0
490397,0,0,0
490398,711,0,0
490402,20,11,4
490403,701,0,0
490404,0,114,2500
490409,645,97,0
490418,445,44,0
490428,836,0,0
490430,901,1678,0
490438,661,0,0
490439,535,0,0
490445,547,1329,0
490449,702,0,0
490455,623,0,0
490458,0,963,0
490460,584,0,0
490464,0,0,2562
490467,1167,0,0
490479,766,1840,0
490480,0,0,2387
490483,574,337,0
490489,658,0,0
490493,0,0,0
490494,0,0,0
490495,546,0,0
490496,732,0,0
490498,420,0,0
490500,479,94,0
490503,558,28,184
490522,585,0,0
490523,887,159,0
490526,540,0,0
490529,849,220,0
490531,0,0,1957
490533,594,0,0
490536,681,1183,0
490539,67,55,45
490543,325,196,183
490560,0,0,0
490567,1038,2,1
490568,480,1303,0
490582,713,0,0
490585,720,0,0
490591,505,0,0
490592,1044,0,0
490596,0,0,0
490597,0,0,0
490600,509,0,0
490602,416,350,304
490603,75,0,0
490606,589,1075,0
490607,488,0,0
490608,549,0,0
490609,0,0,1572
490611,0,0,0
490612,393,0,0
490615,0,0,0
490616,0,0,54
490617,549,0,0
490619,0,0,0
490621,0,975,0
490626,876,0,0
490631,0,0,0
490632,0,0,509
490636,496,1348,0
490646,618,0,1654
490653,716,0,0
490656,583,12,0
490657,0,0,1285
