level_0,index,SchoolID,Public_Elem,Public_Midl,Public_High,PriCha_Elem,PriCha_Midl,PriCha_High
52,52,215,539,0,0,0,0,0
53,53,217,658,0,0,0,0,0
54,54,218,6,0,0,0,0,0
55,55,221,573,0,0,0,0,0
56,56,225,645,0,0,0,0,0
57,57,226,18,10,0,0,0,0
58,58,227,530,0,0,0,0,0
59,59,228,28,0,0,0,0,0
60,60,229,215,0,0,0,0,0
61,61,233,0,848,0,0,0,0
62,62,234,0,1127,0,0,0,0
63,63,235,0,0,1197,0,0,0
64,64,236,0,0,1639,0,0,0
65,65,240,0,0,161,0,0,0
66,66,248,474,0,0,0,0,0
67,67,249,486,0,0,0,0,0
68,68,250,466,0,0,0,0,0
69,69,251,463,0,0,0,0,0
70,70,252,460,0,0,0,0,0
71,71,253,404,0,0,0,0,0
72,72,254,719,0,0,0,0,0
73,73,255,585,0,0,0,0,0
74,74,257,677,0,0,0,0,0
75,75,258,713,0,0,0,0,0
76,76,259,464,0,0,0,0,0
77,77,262,0,869,0,0,0,0
78,78,265,0,1198,0,0,0,0
79,79,267,0,1146,0,0,0,0
80,80,270,0,0,1549,0,0,0
81,81,271,0,0,1597,0,0,0
82,82,281,374,0,0,0,0,0
83,83,282,363,0,0,0,0,0
84,84,284,261,0,0,0,0,0
85,85,288,233,0,0,0,0,0
86,86,289,0,199,0,0,0,0
87,87,290,0,616,0,0,0,0
88,88,293,0,0,1002,0,0,0
89,89,297,31,3,19,0,0,0
90,90,302,14,0,0,0,0,0
91,91,304,59,0,0,0,0,0
92,92,306,0,43,45,0,0,0
93,93,310,644,0,0,0,0,0
94,94,311,349,0,0,0,0,0
95,95,312,602,0,0,0,0,0
96,96,313,465,0,0,0,0,0
97,97,314,473,0,0,0,0,0
98,98,315,599,0,0,0,0,0
99,99,316,386,0,0,0,0,0
100,100,317,465,0,0,0,0,0
101,101,318,638,0,0,0,0,0
102,102,319,291,0,0,0,0,0
103,103,320,341,0,0,0,0,0
104,104,321,507,0,0,0,0,0
105,105,322,442,0,0,0,0,0
106,106,323,555,0,0,0,0,0
107,107,324,444,0,0,0,0,0
108,108,326,431,0,0,0,0,0
109,109,327,447,0,0,0,0,0
110,110,328,427,0,0,0,0,0
111,111,329,332,0,0,0,0,0
112,112,330,614,0,0,0,0,0
113,113,331,483,0,0,0,0,0
114,114,332,587,0,0,0,0,0
115,115,333,596,0,0,0,0,0
116,116,334,606,0,0,0,0,0
117,117,335,520,0,0,0,0,0
118,118,336,312,0,0,0,0,0
119,119,337,509,0,0,0,0,0
120,120,338,578,0,0,0,0,0
121,121,339,454,0,0,0,0,0
122,122,340,484,0,0,0,0,0
123,123,341,414,0,0,0,0,0
124,124,342,457,0,0,0,0,0
125,125,343,695,0,0,0,0,0
126,126,344,690,0,0,0,0,0
127,127,345,741,0,0,0,0,0
128,128,346,522,0,0,0,0,0
129,129,347,354,0,0,0,0,0
130,130,348,862,0,0,0,0,0
131,131,349,338,0,0,0,0,0
132,132,350,430,0,0,0,0,0
133,133,352,642,0,0,0,0,0
134,134,353,594,0,0,0,0,0
135,135,354,603,0,0,0,0,0
136,136,355,361,0,0,0,0,0
137,137,356,325,0,0,0,0,0
138,138,357,425,0,0,0,0,0
139,139,359,0,972,0,0,0,0
140,140,360,0,630,0,0,0,0
141,141,361,0,971,0,0,0,0
142,142,362,0,879,0,0,0,0
143,143,363,0,1266,0,0,0,0
144,144,364,0,858,0,0,0,0
145,145,365,0,674,0,0,0,0
146,146,366,0,941,0,0,0,0
147,147,367,0,1092,0,0,0,0
148,148,368,0,960,0,0,0,0
149,149,369,0,954,0,0,0,0
150,150,370,0,927,0,0,0,0
151,151,371,0,1218,0,0,0,0
152,152,389,0,0,267,0,0,0
153,153,390,0,0,1545,0,0,0
154,154,391,0,0,2040,0,0,0
155,155,392,0,0,2233,0,0,0
156,156,393,0,0,2229,0,0,0
157,157,394,0,0,1991,0,0,0
158,158,395,0,0,1568,0,0,0
159,159,396,0,0,1555,0,0,0
160,160,400,0,0,255,0,0,0
161,161,403,0,10,17,0,0,0
162,162,424,317,0,0,0,0,0
163,163,425,386,0,0,0,0,0
164,164,426,326,0,0,0,0,0
165,165,427,120,0,0,0,0,0
166,166,428,137,0,0,0,0,0
167,167,430,109,0,0,0,0,0
168,168,432,479,0,0,0,0,0
169,169,433,0,793,0,0,0,0
170,170,434,0,142,131,0,0,0
171,171,435,0,199,212,0,0,0
172,172,436,0,37,38,0,0,0
173,173,437,0,0,1173,0,0,0
174,174,440,17,4,7,0,0,0
175,175,445,127,0,0,0,0,0
176,176,446,148,0,0,0,0,0
177,177,447,175,0,0,0,0,0
178,178,448,107,0,0,0,0,0
179,179,449,198,0,0,0,0,0
180,180,450,93,0,0,0,0,0
181,181,451,0,215,0,0,0,0
182,182,452,0,221,0,0,0,0
183,183,453,0,44,41,0,0,0
184,184,454,0,0,617,0,0,0
185,185,458,1,0,0,0,0,0
186,186,459,7,0,0,0,0,0
187,187,460,131,0,0,0,0,0
188,188,461,88,0,0,0,0,0
189,189,462,215,0,0,0,0,0
190,190,463,0,56,0,0,0,0
191,191,464,0,65,77,0,0,0
192,192,465,0,36,30,0,0,0
193,193,466,0,0,148,0,0,0
194,194,472,0,220,0,0,0,0
195,195,473,0,0,469,0,0,0
196,196,486,323,0,0,0,0,0
197,197,487,399,0,0,0,0,0
198,198,488,315,0,0,0,0,0
199,199,489,298,0,0,0,0,0
200,200,490,408,0,0,0,0,0
201,201,491,454,0,0,0,0,0
202,202,494,403,0,0,0,0,0
203,203,495,340,0,0,0,0,0
204,204,496,467,0,0,0,0,0
205,205,497,385,0,0,0,0,0
206,206,499,271,0,0,0,0,0
207,207,500,304,0,0,0,0,0
208,208,501,553,0,0,0,0,0
209,209,502,673,0,0,0,0,0
210,210,503,437,0,0,0,0,0
211,211,505,511,0,0,0,0,0
212,212,506,429,0,0,0,0,0
213,213,508,437,0,0,0,0,0
214,214,509,326,0,0,0,0,0
215,215,510,505,0,0,0,0,0
216,216,511,410,0,0,0,0,0
217,217,512,354,0,0,0,0,0
218,218,514,420,0,0,0,0,0
219,219,516,516,0,0,0,0,0
220,220,519,476,0,0,0,0,0
221,221,520,566,0,0,0,0,0
222,222,521,279,0,0,0,0,0
223,223,522,542,0,0,0,0,0
224,224,524,411,0,0,0,0,0
225,225,525,399,0,0,0,0,0
226,226,526,409,0,0,0,0,0
227,227,527,499,0,0,0,0,0
228,228,528,448,0,0,0,0,0
229,229,529,468,0,0,0,0,0
230,230,530,418,0,0,0,0,0
231,231,531,674,0,0,0,0,0
232,232,533,300,0,0,0,0,0
233,233,534,272,0,0,0,0,0
234,234,535,495,0,0,0,0,0
235,235,536,444,0,0,0,0,0
236,236,537,480,0,0,0,0,0
237,237,538,542,0,0,0,0,0
238,238,539,364,0,0,0,0,0
239,239,542,509,0,0,0,0,0
240,240,544,455,0,0,0,0,0
241,241,545,507,0,0,0,0,0
242,242,547,435,0,0,0,0,0
243,243,548,615,0,0,0,0,0
244,244,549,372,0,0,0,0,0
245,245,550,584,0,0,0,0,0
246,246,552,0,1023,0,0,0,0
247,247,553,0,637,0,0,0,0
248,248,556,0,521,0,0,0,0
249,249,557,0,1039,0,0,0,0
250,250,558,0,613,0,0,0,0
251,251,559,0,800,0,0,0,0
252,252,560,0,668,0,0,0,0
253,253,561,0,917,0,0,0,0
254,254,562,0,731,0,0,0,0
255,255,563,0,774,0,0,0,0
256,256,564,0,807,0,0,0,0
257,257,565,0,548,0,0,0,0
258,258,566,0,830,0,0,0,0
259,259,567,0,725,0,0,0,0
260,260,598,0,0,1453,0,0,0
261,261,599,0,0,2770,0,0,0
262,262,600,0,0,3267,0,0,0
263,263,601,0,0,2490,0,0,0
264,264,603,0,0,2321,0,0,0
265,265,604,0,0,2156,0,0,0
266,266,605,0,0,2176,0,0,0
267,267,606,0,0,2699,0,0,0
268,268,608,18,80,448,0,0,0
269,269,616,48,28,0,0,0,0
270,270,637,598,0,0,0,0,0
271,271,638,578,0,0,0,0,0
272,272,639,547,0,0,0,0,0
273,273,640,111,0,0,0,0,0
274,274,641,516,0,0,0,0,0
275,275,642,516,0,0,0,0,0
276,276,643,418,0,0,0,0,0
277,277,645,0,1142,0,0,0,0
278,278,649,0,0,1373,0,0,0
279,279,650,0,182,168,0,0,0
280,280,651,0,0,1023,0,0,0
281,281,652,2346,1053,883,0,0,0
282,282,660,560,0,0,0,0,0
283,283,661,556,0,0,0,0,0
284,284,663,219,0,0,0,0,0
285,285,664,359,0,0,0,0,0
286,286,665,600,0,0,0,0,0
287,287,666,736,0,0,0,0,0
288,288,667,471,0,0,0,0,0
289,289,668,599,0,0,0,0,0
290,290,669,308,0,0,0,0,0
291,291,671,468,0,0,0,0,0
292,292,672,680,0,0,0,0,0
293,293,673,479,0,0,0,0,0
294,294,674,364,0,0,0,0,0
295,295,676,580,0,0,0,0,0
296,296,677,303,0,0,0,0,0
297,297,678,403,0,0,0,0,0
298,298,679,637,0,0,0,0,0
299,299,680,631,0,0,0,0,0
300,300,681,516,0,0,0,0,0
301,301,682,320,0,0,0,0,0
302,302,683,630,0,0,0,0,0
303,303,684,488,0,0,0,0,0
304,304,685,606,0,0,0,0,0
305,305,686,596,0,0,0,0,0
306,306,687,783,0,0,0,0,0
307,307,688,525,0,0,0,0,0
308,308,690,340,0,0,0,0,0
309,309,691,560,0,0,0,0,0
310,310,692,492,0,0,0,0,0
311,311,693,657,0,0,0,0,0
312,312,694,591,0,0,0,0,0
313,313,695,366,0,0,0,0,0
314,314,696,325,0,0,0,0,0
315,315,697,490,0,0,0,0,0
316,316,698,573,0,0,0,0,0
317,317,699,553,0,0,0,0,0
318,318,700,647,0,0,0,0,0
319,319,701,863,0,0,0,0,0
320,320,702,592,0,0,0,0,0
321,321,703,474,0,0,0,0,0
322,322,704,649,0,0,0,0,0
323,323,705,343,0,0,0,0,0
324,324,706,701,0,0,0,0,0
325,325,708,462,0,0,0,0,0
326,326,709,596,0,0,0,0,0
327,327,710,303,0,0,0,0,0
328,328,712,0,943,0,0,0,0
329,329,713,0,914,0,0,0,0
330,330,714,0,516,0,0,0,0
331,331,715,0,805,0,0,0,0
332,332,716,0,1075,0,0,0,0
333,333,717,0,765,0,0,0,0
334,334,718,0,1414,0,0,0,0
335,335,720,0,1263,0,0,0,0
336,336,721,0,913,0,0,0,0
337,337,722,0,1189,0,0,0,0
338,338,723,0,1001,0,0,0,0
339,339,724,0,1152,0,0,0,0
340,340,725,0,1170,0,0,0,0
341,341,726,0,1182,0,0,0,0
342,342,733,0,0,2276,0,0,0
343,343,734,0,0,2845,0,0,0
344,344,735,0,0,2460,0,0,0
345,345,736,0,0,2437,0,0,0
346,346,737,0,0,2425,0,0,0
347,347,738,0,0,1820,0,0,0
348,348,739,0,0,2302,0,0,0
349,349,741,0,0,349,0,0,0
350,350,742,0,0,1760,0,0,0
351,351,743,0,0,11,0,0,0
352,352,745,0,0,165,0,0,0
353,353,746,30,22,27,0,0,0
354,354,747,0,13,0,0,0,0
355,355,767,280,0,0,0,0,0
356,356,768,546,0,0,0,0,0
357,357,769,0,629,0,0,0,0
358,358,770,0,0,896,0,0,0
359,359,774,40,9,24,0,0,0
360,360,775,523,0,0,0,0,0
361,361,776,162,0,0,0,0,0
362,362,777,0,4,1,0,0,0
363,363,778,0,159,0,0,0,0
364,364,779,0,0,319,0,0,0
365,365,780,0,78,77,0,0,0
366,366,786,430,0,0,0,0,0
367,367,787,14,0,0,0,0,0
368,368,789,0,347,0,0,0,0
369,369,790,0,0,594,0,0,0
370,370,791,0,0,385,0,0,0
371,371,797,556,0,0,0,0,0
372,372,798,0,493,0,0,0,0
373,373,799,0,0,1140,0,0,0
374,374,802,415,0,0,0,0,0
375,375,803,478,0,0,0,0,0
376,376,804,454,0,0,0,0,0
377,377,805,360,0,0,0,0,0
378,378,806,425,0,0,0,0,0
379,379,807,304,0,0,0,0,0
380,380,809,384,0,0,0,0,0
381,381,810,590,0,0,0,0,0
382,382,811,591,0,0,0,0,0
383,383,812,436,0,0,0,0,0
384,384,813,331,0,0,0,0,0
385,385,814,723,0,0,0,0,0
386,386,815,415,0,0,0,0,0
387,387,816,507,0,0,0,0,0
388,388,817,576,0,0,0,0,0
389,389,818,394,0,0,0,0,0
390,390,819,612,0,0,0,0,0
391,391,820,313,0,0,0,0,0
392,392,824,0,1144,0,0,0,0
393,393,825,0,1073,0,0,0,0
394,394,826,0,1086,0,0,0,0
395,395,827,0,0,1647,0,0,0
396,396,828,0,7,1634,0,0,0
397,397,829,0,0,1664,0,0,0
398,398,832,0,0,309,0,0,0
399,399,840,235,0,0,0,0,0
400,400,841,142,0,0,0,0,0
401,401,842,436,0,0,0,0,0
402,402,843,314,0,0,0,0,0
403,403,844,142,0,0,0,0,0
404,404,845,0,355,0,0,0,0
405,405,846,0,0,780,0,0,0
406,406,852,348,0,0,0,0,0
407,407,853,0,323,0,0,0,0
408,408,854,0,0,370,0,0,0
409,409,858,400,0,0,0,0,0
410,410,859,383,0,0,0,0,0
411,411,860,392,0,0,0,0,0
412,412,861,0,741,0,0,0,0
413,413,862,0,666,0,0,0,0
414,414,863,0,0,1175,0,0,0
415,415,867,105,0,0,0,0,0
416,416,868,24,0,0,0,0,0
417,417,869,0,69,72,0,0,0
418,418,873,120,0,0,0,0,0
419,419,874,105,0,0,0,0,0
420,420,875,0,112,0,0,0,0
421,421,878,0,0,162,0,0,0
422,422,882,471,0,0,0,0,0
423,423,883,74,0,0,0,0,0
424,424,885,6,0,0,0,0,0
425,425,886,224,0,0,0,0,0
426,426,887,253,0,0,0,0,0
427,427,888,262,0,0,0,0,0
428,428,889,0,330,0,0,0,0
429,429,892,0,116,94,0,0,0
430,430,893,0,88,100,0,0,0
431,431,894,0,0,425,0,0,0
432,432,895,0,158,145,0,0,0
433,433,896,0,0,22,0,0,0
434,434,902,466,0,0,0,0,0
435,435,903,27,0,0,0,0,0
436,436,904,537,0,0,0,0,0
437,437,905,520,0,0,0,0,0
438,438,907,435,0,0,0,0,0
439,439,908,0,196,0,0,0,0
440,440,909,0,288,0,0,0,0
441,441,910,0,503,0,0,0,0
442,442,912,0,0,269,0,0,0
443,443,913,0,0,743,0,0,0
444,444,914,0,0,394,0,0,0
445,445,915,0,0,54,0,0,0
446,446,924,502,0,0,0,0,0
447,447,925,538,0,0,0,0,0
448,448,926,360,0,0,0,0,0
449,449,927,0,497,0,0,0,0
450,450,928,0,0,318,0,0,0
451,451,929,0,0,694,0,0,0
452,452,933,450,0,0,0,0,0
453,453,935,0,476,0,0,0,0
454,454,937,0,0,488,0,0,0
455,455,942,93,0,0,0,0,0
456,456,943,0,9,0,0,0,0
457,457,945,0,70,72,0,0,0
458,458,951,639,0,0,0,0,0
459,459,953,18,0,0,0,0,0
460,460,954,647,0,0,0,0,0
461,461,956,609,0,0,0,0,0
462,462,957,20,0,0,0,0,0
463,463,958,176,0,0,0,0,0
464,464,959,230,0,0,0,0,0
465,465,960,0,552,0,0,0,0
466,466,962,0,771,0,0,0,0
467,467,964,0,0,1104,0,0,0
468,468,965,0,0,1910,0,0,0
469,469,966,0,83,88,0,0,0
470,470,967,0,0,129,0,0,0
471,471,974,442,0,0,0,0,0
472,472,976,442,0,0,0,0,0
473,473,977,656,0,0,0,0,0
474,474,978,147,0,0,0,0,0
475,475,979,473,0,0,0,0,0
476,476,980,456,0,0,0,0,0
477,477,983,0,844,0,0,0,0
478,478,985,0,579,0,0,0,0
479,479,988,0,0,1845,0,0,0
480,480,995,496,0,0,0,0,0
481,481,996,596,0,0,0,0,0
482,482,997,574,0,0,0,0,0
483,483,1000,0,0,2619,0,0,0
484,484,1004,553,0,0,0,0,0
485,485,1005,439,0,0,0,0,0
486,486,1006,428,0,0,0,0,0
487,487,1007,448,0,0,0,0,0
488,488,1008,386,0,0,0,0,0
489,489,1010,612,0,0,0,0,0
490,490,1011,417,0,0,0,0,0
491,491,1012,562,0,0,0,0,0
492,492,1014,476,0,0,0,0,0
493,493,1015,420,0,0,0,0,0
494,494,1016,447,0,0,0,0,0
495,495,1017,450,0,0,0,0,0
496,496,1018,35,0,0,0,0,0
497,497,1019,455,0,0,0,0,0
498,498,1020,533,0,0,0,0,0
499,499,1021,441,0,0,0,0,0
500,500,1023,0,844,0,0,0,0
501,501,1024,0,785,0,0,0,0
502,502,1025,0,0,1188,0,0,0
503,503,1027,0,703,0,0,0,0
504,504,1028,0,799,0,0,0,0
505,505,1032,0,0,1266,0,0,0
506,506,1033,0,271,266,0,0,0
507,507,1035,0,0,118,0,0,0
508,508,1036,0,0,1124,0,0,0
509,509,1037,0,0,1327,0,0,0
510,510,1044,17,0,0,0,0,0
511,511,1045,212,0,0,0,0,0
512,512,1047,0,105,86,0,0,0
513,513,1054,690,0,0,0,0,0
514,514,1057,526,0,0,0,0,0
515,515,1058,380,0,0,0,0,0
516,516,1059,497,0,0,0,0,0
517,517,1060,516,0,0,0,0,0
518,518,1061,704,0,0,0,0,0
519,519,1062,722,0,0,0,0,0
520,520,1063,373,0,0,0,0,0
521,521,1064,429,0,0,0,0,0
522,522,1065,713,0,0,0,0,0
523,523,1067,502,0,0,0,0,0
524,524,1068,318,0,0,0,0,0
525,525,1069,531,0,0,0,0,0
526,526,1070,0,0,175,0,0,0
527,527,1071,504,0,0,0,0,0
528,528,1073,394,0,0,0,0,0
529,529,1074,618,0,0,0,0,0
530,530,1075,383,0,0,0,0,0
531,531,1076,374,0,0,0,0,0
532,532,1077,405,0,0,0,0,0
533,533,1078,629,0,0,0,0,0
534,534,1079,547,0,0,0,0,0
535,535,1080,286,0,0,0,0,0
536,536,1081,432,0,0,0,0,0
537,537,1082,632,0,0,0,0,0
538,538,1083,0,863,0,0,0,0
539,539,1084,0,797,0,0,0,0
540,540,1085,0,961,0,0,0,0
541,541,1086,0,697,0,0,0,0
542,542,1087,0,801,0,0,0,0
543,543,1088,0,612,0,0,0,0
544,544,1089,0,266,0,0,0,0
545,545,1090,0,1034,0,0,0,0
546,546,1093,0,0,1382,0,0,0
547,547,1094,0,0,2002,0,0,0
548,548,1095,0,0,1443,0,0,0
549,549,1096,0,0,1660,0,0,0
550,550,1111,381,0,0,0,0,0
551,551,1112,329,0,0,0,0,0
552,552,1113,414,0,0,0,0,0
553,553,1114,432,0,0,0,0,0
554,554,1115,417,0,0,0,0,0
555,555,1116,396,0,0,0,0,0
556,556,1118,361,0,0,0,0,0
557,557,1119,312,0,0,0,0,0
558,558,1121,592,0,0,0,0,0
559,559,1124,478,0,0,0,0,0
560,560,1125,453,0,0,0,0,0
561,561,1127,417,0,0,0,0,0
562,562,1130,420,0,0,0,0,0
563,563,1131,370,0,0,0,0,0
564,564,1132,412,72,0,0,0,0
565,565,1133,314,0,0,0,0,0
566,566,1135,334,0,0,0,0,0
567,567,1138,464,0,0,0,0,0
568,568,1139,388,0,0,0,0,0
569,569,1140,356,0,0,0,0,0
570,570,1141,478,0,0,0,0,0
571,571,1143,0,360,0,0,0,0
572,572,1144,0,567,0,0,0,0
573,573,1145,0,680,0,0,0,0
574,574,1146,0,485,0,0,0,0
575,575,1147,0,542,0,0,0,0
576,576,1154,0,0,1771,0,0,0
577,577,1155,0,0,1972,0,0,0
578,578,1157,0,795,1717,0,0,0
579,579,1161,0,0,253,0,0,0
580,580,1186,438,0,0,0,0,0
581,581,1193,717,0,0,0,0,0
582,582,1195,462,0,0,0,0,0
583,583,1198,522,0,0,0,0,0
584,584,1200,537,0,0,0,0,0
585,585,1201,357,0,0,0,0,0
586,586,1204,0,650,0,0,0,0
587,587,1205,0,563,0,0,0,0
588,588,1206,0,806,0,0,0,0
589,589,1208,0,0,1186,0,0,0
590,590,1209,0,0,1133,0,0,0
591,591,1210,0,12,271,0,0,0
592,592,1224,375,0,0,0,0,0
593,593,1225,609,0,0,0,0,0
594,594,1226,366,0,0,0,0,0
595,595,1231,510,0,0,0,0,0
596,596,1232,488,0,0,0,0,0
597,597,1233,591,0,0,0,0,0
598,598,1234,633,0,0,0,0,0
599,599,1235,534,0,0,0,0,0
600,600,1236,604,0,0,0,0,0
601,601,1237,0,1080,0,0,0,0
602,602,1238,0,877,0,0,0,0
603,603,1248,0,0,2026,0,0,0
604,604,1249,0,0,2301,0,0,0
605,605,1250,0,0,276,0,0,0
606,606,1264,302,0,0,0,0,0
607,607,1266,320,0,0,0,0,0
608,608,1268,340,0,0,0,0,0
609,609,1269,527,0,0,0,0,0
610,610,1270,521,0,0,0,0,0
611,611,1271,0,1117,0,0,0,0
612,612,1272,0,0,1466,0,0,0
613,613,1278,322,0,0,0,0,0
614,614,1279,669,0,0,0,0,0
615,615,1280,244,0,0,0,0,0
616,616,1281,417,0,0,0,0,0
617,617,1282,323,0,0,0,0,0
618,618,1283,454,0,0,0,0,0
619,619,1284,433,0,0,0,0,0
620,620,1286,0,698,0,0,0,0
621,621,1288,0,619,0,0,0,0
622,622,1289,0,0,1360,0,0,0
623,623,5468,448,0,0,0,0,0
624,624,5470,488,0,0,0,0,0
625,625,5471,542,0,0,0,0,0
626,626,5472,914,0,0,0,0,0
627,627,5473,863,0,0,0,0,0
628,628,5474,723,0,0,0,0,0
629,629,5475,679,0,0,0,0,0
630,630,5476,0,262,0,0,0,0
631,631,5477,318,0,0,0,0,0
632,632,5492,0,0,0,156,91,102
633,633,5495,0,0,0,278,52,0
634,634,5497,0,0,0,0,0,82
635,635,10523,585,0,0,0,0,0
636,636,10525,769,0,0,0,0,0
637,637,10526,547,0,0,0,0,0
638,638,10527,0,0,0,0,47,46
639,639,10528,723,0,0,0,0,0
640,640,10530,489,0,0,0,0,0
641,641,20530,360,0,0,0,0,0
642,642,25531,411,0,0,0,0,0
643,643,35536,0,5,2,0,0,0
644,644,35537,0,0,0,154,26,0
645,645,35539,0,0,0,490,0,0
646,646,40544,0,699,0,0,0,0
647,647,45544,572,0,0,0,0,0
648,648,45545,693,0,0,0,0,0
649,649,45546,426,0,0,0,0,0
650,650,45548,784,0,0,0,0,0
651,651,45549,417,0,0,0,0,0
652,652,45550,507,0,0,0,0,0
653,653,50545,0,1052,0,0,0,0
654,654,50546,505,0,0,0,0,0
655,655,50547,975,0,0,0,0,0
656,656,55546,622,0,0,0,0,0
657,657,55547,327,0,0,0,0,0
658,658,60560,0,0,0,0,0,442
659,659,65561,0,1556,0,0,0,0
660,660,65562,623,0,0,0,0,0
661,661,65563,0,1329,0,0,0,0
662,662,65566,16,0,0,0,0,0
663,663,70564,429,0,0,0,0,0
664,664,70593,0,0,113,0,0,0
665,665,70596,0,1004,0,0,0,0
666,666,75575,838,0,0,0,0,0
667,667,105568,354,0,0,0,0,0
668,668,110569,0,0,0,0,415,0
669,669,110571,0,0,0,696,291,0
670,670,110574,0,0,0,671,376,194
671,671,110575,0,0,0,0,0,458
672,672,115570,105,0,0,0,0,0
673,673,125576,0,0,0,0,0,672
674,674,125577,0,0,0,361,0,0
675,675,125578,0,0,0,735,313,230
676,676,125580,0,0,0,0,0,366
677,677,125581,0,0,0,705,262,0
678,678,125582,0,0,0,204,103,79
679,679,130580,776,0,0,0,0,0
680,680,130581,723,0,0,0,0,0
681,681,130582,0,1594,0,0,0,0
682,682,130583,682,0,0,0,0,0
683,683,130584,694,0,0,0,0,0
684,684,130585,497,0,0,0,0,0
685,685,130586,480,0,0,0,0,0
686,686,130587,610,0,0,0,0,0
687,687,130588,0,727,0,0,0,0
688,688,130589,488,0,0,0,0,0
689,689,130590,463,0,0,0,0,0
690,690,135601,0,0,0,0,0,325
691,691,135602,0,0,0,71,0,0
692,692,160607,0,0,0,0,0,509
693,693,165609,0,0,0,574,337,0
694,694,165610,0,0,0,0,302,124
695,695,165611,0,0,0,520,0,0
696,696,165612,0,0,0,359,163,0
697,697,165614,0,0,0,557,126,0
698,698,165615,0,0,0,844,397,351
699,699,170609,0,0,0,332,43,0
700,700,175612,0,0,0,420,0,0
701,701,175613,790,0,0,0,0,0
702,702,175614,701,0,0,0,0,0
703,703,175615,0,1383,0,0,0,0
704,704,175616,0,1200,0,0,0,0
705,705,175617,515,0,0,0,0,0
706,706,175618,490,0,0,0,0,0
707,707,180611,485,0,0,0,0,0
708,708,180612,520,0,0,0,0,0
709,709,185612,552,0,0,0,0,0
710,710,185614,0,0,95,0,0,0
711,711,185679,0,847,0,0,0,0
712,712,185680,484,0,0,0,0,0
713,713,185681,406,0,0,0,0,0
714,714,185682,471,0,0,0,0,0
715,715,185683,603,0,0,0,0,0
716,716,185684,725,0,0,0,0,0
717,717,185685,0,1314,0,0,0,0
718,718,185686,0,0,0,520,0,0
719,719,185688,0,0,0,661,0,0
720,720,185692,0,0,0,0,180,173
721,721,185694,0,0,0,764,256,0
722,722,185700,0,0,0,645,97,0
723,723,185702,0,0,0,782,279,0
724,724,185710,711,0,0,0,0,0
725,725,185711,988,0,0,0,0,0
726,726,185712,702,0,0,0,0,0
727,727,185798,0,0,0,548,142,0
728,728,185800,0,0,0,1014,0,0
729,729,185802,0,0,0,499,105,0
730,730,185804,0,0,0,0,99,98
731,731,185807,636,0,0,0,0,0
732,732,185808,646,0,0,0,0,0
733,733,185811,0,951,0,0,0,0
734,734,185813,704,0,0,0,0,0
735,735,185814,563,0,0,0,0,0
736,736,185815,407,0,0,0,0,0
737,737,185816,535,0,0,0,0,0
738,738,185817,626,0,0,0,0,0
739,739,185818,0,722,0,0,0,0
740,740,185821,706,0,0,0,0,0
741,741,185823,663,0,0,0,0,0
742,742,185824,0,0,1600,0,0,0
743,743,185825,0,0,1898,0,0,0
744,744,185832,0,0,2331,0,0,0
745,745,185833,0,0,0,359,0,0
746,746,185835,0,0,0,0,350,304
747,747,185836,0,0,0,524,0,0
748,748,185837,0,0,0,292,0,0
749,749,185838,522,0,0,0,0,0
