level_0,index,SchoolID,Public_Elem,Public_Midl,Public_High,PriCha_Elem,PriCha_Midl,PriCha_High
0,0,132,535,0,0,0,0,0
1,1,133,416,0,0,0,0,0
2,2,134,531,0,0,0,0,0
3,3,135,509,0,0,0,0,0
4,4,136,876,0,0,0,0,0
5,5,137,662,0,0,0,0,0
6,6,138,106,0,0,0,0,0
7,7,139,594,0,0,0,0,0
8,8,140,634,0,0,0,0,0
9,9,141,701,0,0,0,0,0
10,10,142,546,0,0,0,0,0
11,11,144,658,0,0,0,0,0
12,12,145,681,0,0,0,0,0
13,13,146,584,0,0,0,0,0
14,14,148,766,0,0,0,0,0
15,15,149,476,0,0,0,0,0
16,16,152,589,0,0,0,0,0
17,17,153,574,0,0,0,0,0
18,18,154,393,0,0,0,0,0
19,19,155,538,0,0,0,0,0
20,20,156,618,0,0,0,0,0
21,21,158,540,0,0,0,0,0
22,22,159,480,0,0,0,0,0
23,23,160,604,0,0,0,0,0
24,24,162,732,0,0,0,0,0
25,25,165,713,0,0,0,0,0
26,26,166,496,0,0,0,0,0
27,27,167,549,0,0,0,0,0
28,28,168,0,1840,0,0,0,0
29,29,169,0,1075,0,0,0,0
30,30,170,0,1348,0,0,0,0
31,31,171,0,1382,0,0,0,0
32,32,172,0,963,0,0,0,0
33,33,173,0,1303,0,0,0,0
34,34,174,0,975,0,0,0,0
35,35,175,0,1183,0,0,0,0
36,36,177,27,28,184,0,0,0
37,37,180,0,0,2387,0,0,0
38,38,181,0,0,2299,0,0,0
39,39,182,0,0,2562,0,0,0
40,40,183,0,0,1654,0,0,0
41,41,184,0,0,1285,0,0,0
42,42,185,0,0,1957,0,0,0
43,43,186,0,0,1572,0,0,0
44,44,188,0,19,56,0,0,0
45,45,199,451,0,0,0,0,0
46,46,200,211,0,0,0,0,0
47,47,201,164,0,0,0,0,0
48,48,202,0,225,221,0,0,0
49,49,203,0,95,111,0,0,0
50,50,209,440,0,0,0,0,0
51,51,214,448,0,0,0,0,0
