SchoolID,Public_Elem,Public_Midl,Public_High,PriCha_Elem,PriCha_Midl,PriCha_High
132,639,0,0,0,0,0
133,412,0,0,0,0,0
134,483,0,0,0,0,0
135,560,0,0,0,0,0
136,721,0,0,0,0,0
137,780,0,0,0,0,0
138,96,0,0,0,0,0
139,515,0,0,0,0,0
140,723,0,0,0,0,0
141,999,0,0,0,0,0
142,453,0,0,0,0,0
143,304,0,0,0,0,0
144,743,0,0,0,0,0
145,730,0,0,0,0,0
146,774,0,0,0,0,0
148,745,0,0,0,0,0
149,609,0,0,0,0,0
152,710,0,0,0,0,0
153,783,0,0,0,0,0
154,689,0,0,0,0,0
155,663,0,0,0,0,0
156,705,0,0,0,0,0
158,643,0,0,0,0,0
159,618,0,0,0,0,0
160,718,0,0,0,0,0
161,379,0,0,0,0,0
162,866,0,0,0,0,0
163,362,0,0,0,0,0
164,421,0,0,0,0,0
165,1104,0,0,0,0,0
166,464,0,0,0,0,0
167,571,0,0,0,0,0
168,0,1983,0,0,0,0
169,0,1183,0,0,0,0
170,0,1226,0,0,0,0
171,0,1332,0,0,0,0
172,0,1194,0,0,0,0
173,0,1414,0,0,0,0
174,0,1031,0,0,0,0
175,0,1420,0,0,0,0
177,36,22,174,0,0,0
180,0,0,2393,0,0,0
181,0,0,1617,0,0,0
182,0,0,2537,0,0,0
183,0,0,1244,0,0,0
184,0,0,1299,0,0,0
185,0,0,2239,0,0,0
186,0,0,1519,0,0,0
188,0,0,72,0,0,0
199,493,0,0,0,0,0
200,226,0,0,0,0,0
201,105,20,0,0,0,0
202,0,225,243,0,0,0
203,0,102,110,0,0,0
209,496,0,0,0,0,0
214,457,0,0,0,0,0
215,450,0,0,0,0,0
216,515,0,0,0,0,0
217,706,0,0,0,0,0
221,597,0,0,0,0,0
224,327,0,0,0,0,0
225,504,0,0,0,0,0
227,562,0,0,0,0,0
228,24,0,0,0,0,0
229,245,0,0,0,0,0
233,0,781,0,0,0,0
234,0,1093,0,0,0,0
235,0,0,1036,0,0,0
236,0,0,1545,0,0,0
240,0,0,116,0,0,0
248,530,0,0,0,0,0
249,478,0,0,0,0,0
250,470,0,0,0,0,0
251,466,0,0,0,0,0
252,432,0,0,0,0,0
253,396,0,0,0,0,0
254,724,0,0,0,0,0
255,525,0,0,0,0,0
257,719,0,0,0,0,0
258,762,0,0,0,0,0
259,574,0,0,0,0,0
262,0,795,0,0,0,0
265,0,1157,0,0,0,0
