CO_TAZID,SchoolName,Public_Elem,Public_Midl,Public_High,PriCha_Elem,PriCha_Midl,PriCha_High,Enrol_Elem,Enrol_Midl,Enrol_High
1007,Beaver Preschool,0,0,0,0,0,0,0,0,0
1009,Belknap School,451,0,0,0,0,0,451,0,0
1011,Beaver High,0,225,221,0,0,0,0,225,221
1062,Milford High,0,95,111,0,0,0,0,95,111
1064,Milford School,211,0,0,0,0,0,211,0,0
1103,Minersville SchoolMinersville School,328,0,0,0,0,0,328,0,0
3047,Fielding School,539,0,0,0,0,0,539,0,0
3083,Garland School,658,0,0,0,0,0,658,0,0
3111,Bear River HighNorth Park School,645,0,1197,0,0,0,645,0,1197
3112,Bear River Middle,0,848,0,0,0,0,0,848,0
3117,Alice C. Harris Intermediate,0,0,0,0,0,0,0,0,0
3125,McKinley School,0,0,0,0,0,0,0,0,0
3198,Centro de la Familia de Utah Box Elder,0,0,0,0,0,0,0,0,0
3211,Century School,440,0,0,0,0,0,440,0,0
3233,Corinne Early Learning Center,0,0,0,0,0,0,0,0,0
3262,Snowville School,28,0,0,0,0,0,28,0,0
3294,Park Valley ElementaryPark Valley Secondary,36,20,0,0,0,0,36,20,0
3295,Grouse Creek ElementaryGrouse Creek Secondary,12,0,0,0,0,0,12,0,0
7001,Sally Mauro School,261,0,0,0,0,0,261,0,0
7006,Helper Middle,0,199,0,0,0,0,0,199,0
7024,Carbon HighCastle Valley Center,31,3,1021,0,0,0,31,3,1021
7026,Castle Heights School,374,0,0,0,0,0,374,0,0
7028,Mont Harmon Middle,0,616,0,0,0,0,0,616,0
7034,Pinnacle Canyon Academy,0,0,0,156,91,102,156,91,102
7039,Creekview School,363,0,0,0,0,0,363,0,0
7059,Rural Utah Child Development,0,0,0,0,0,0,0,0,0
7090,Wellington School,233,0,0,0,0,0,233,0,0
7158,Bruin Point School,85,0,0,0,0,0,85,0,0
9003,Flaming Gorge School,14,0,0,0,0,0,14,0,0
9012,Manila HighManila SchoolDaggett Preschool,59,43,45,0,0,0,59,43,45
13002,East School,326,0,0,0,0,0,326,0,0
13004,Kings Peak School,479,0,0,0,0,0,479,0,0
13006,Roosevelt Jr High,0,793,0,0,0,0,0,793,0
13008,Union High,0,0,1173,0,0,0,0,0,1173
13013,Centennial School,438,0,0,0,0,0,438,0,0
13022,Neola School,137,0,0,0,0,0,137,0,0
13024,Cedar Ridge Academy,0,0,0,0,0,0,0,0,0
13039,Altamont SchoolAltamont High,317,142,131,0,0,0,317,142,131
13067,Duchesne SchoolDuchesne High,386,199,212,0,0,0,386,199,212
13092,Myton SchoolCon Amore School,137,4,7,0,0,0,137,4,7
13109,Tabiona HighTabiona School,109,37,38,0,0,0,109,37,38
15045,Cleveland School,148,0,0,0,0,0,148,0,0
15076,Canyon View Middle School,0,215,0,0,0,0,0,215,0
15082,Huntington School,198,0,0,0,0,0,198,0,0
15117,Emery High,0,0,617,0,0,0,0,0,617
15118,Castle Dale School,127,0,0,0,0,0,127,0,0
15141,Cottonwood School,93,0,0,0,0,0,93,0,0
15176,Ferron School,175,0,0,0,0,0,175,0,0
15180,San Rafael Middle School,0,221,0,0,0,0,0,221,0
15244,Green River High,0,44,41,0,0,0,0,44,41
15247,Book Cliff School,107,0,0,0,0,0,107,0,0
17008,Panguitch School,215,0,0,0,0,0,215,0,0
17011,Garfield Online,0,0,0,0,0,0,0,0,0
17012,Panguitch High,0,0,148,0,0,0,0,0,148
17014,Panguitch Middle,0,56,0,0,0,0,0,56,0
17051,Silverado Academy,0,0,0,0,0,0,0,0,0
17066,Bryce Valley SchoolBryce Valley HighEagle Valley Youth Ranch,131,65,77,0,0,0,131,65,77
17094,Antimony School,1,0,0,0,0,0,1,0,0
17113,Escalante School,88,0,0,0,0,0,88,0,0
17114,Escalante High,0,36,30,0,0,0,0,36,30
17126,Turn-About Ranch,0,0,0,0,0,0,0,0,0
17140,Boulder School,7,0,0,0,0,0,7,0,0
19009,Helen M. Knight School,682,0,0,0,0,0,682,0,0
19015,C R Sundwall Preschool,0,0,0,0,0,0,0,0,0
19023,Grand County MiddleGrand County HighMoab Charter School,0,220,469,71,0,0,71,220,469
21009,Escalante Valley School,111,0,0,0,0,0,111,0,0
21040,Discovery Ranch South,0,0,0,0,0,0,0,0,0
21059,Three Peaks SchoolThree Peaks Pre School,646,0,0,0,0,0,646,0,0
21064,Enoch School,516,0,0,0,0,0,516,0,0
21073,Gateway Preparatory Academy,0,0,0,604,133,0,604,133,0
21114,Canyon View MiddleCanyon View High,0,951,1023,0,0,0,0,951,1023
21116,Fiddlers Canyon School,516,0,0,0,0,0,516,0,0
21122,Havenwood AcademyUTBS Academy - Cedar City,0,0,0,0,0,0,0,0,0
21137,Integrity House,0,0,0,0,0,0,0,0,0
21149,Southern Utah University Head Start,0,0,0,0,0,0,0,0,0
21153,American Principles Academy,0,0,0,167,42,0,167,42,0
21156,Cedar North School,578,0,0,0,0,0,578,0,0
21166,Iron Springs School,636,0,0,0,0,0,636,0,0
21168,Discovery Clubhouse - Cedar,0,0,0,0,0,0,0,0,0
21173,Turning Point School,0,0,0,0,0,0,0,0,0
21180,Success AcademySouthern Utah University Head Start,0,0,0,0,0,0,0,0,0
21182,Cedar East School,598,0,0,0,0,0,598,0,0
21199,Cedar South SchoolIron County Preschool,547,0,0,0,0,0,547,0,0
21203,Cedar City HighSouthwest Educational Academy,2346,1053,2256,0,0,0,2346,1053,2256
21215,Cedar MiddleLaunch High,0,1142,196,0,0,0,0,1142,196
21224,Mountain Springs Preparatory AcademyThe Academy at Cedar Mountain,0,0,0,0,0,0,0,0,0
21245,Moonridge Academy,0,0,0,0,0,0,0,0,0
21309,Parowan SchoolParowan High,418,182,168,0,0,0,418,182,168
23012,Mona School,280,0,0,0,0,0,280,0,0
23044,Arizona State University Prep Digital Powered by Juab,0,0,0,0,0,0,0,0,0
23045,Juab Jr HighJuab High,0,629,896,0,0,0,0,629,896
23051,Nebo View School,354,0,0,0,0,0,354,0,0
23058,Red Cliff School,546,0,0,0,0,0,546,0,0
23112,Eureka SchoolTintic HighTintic Preschool,93,70,72,0,0,0,93,70,72
23127,West Desert High School,0,9,0,0,0,0,0,9,0
25024,Valley High,0,78,77,0,0,0,0,78,77
25026,Valley School,162,0,0,0,0,0,162,0,0
25046,Kanab SchoolKanab CTE Center,523,0,0,0,0,0,523,0,0
25056,Kanab MiddleKane Preschool,0,159,0,0,0,0,0,159,0
25057,Kanab High,0,0,319,0,0,0,0,0,319
25096,Big Water HighBig Water School,80,18,48,0,0,0,80,18,48
25106,Lake Powell High School,0,4,1,0,0,0,0,4,1
27118,Delta High,0,0,594,0,0,0,0,0,594
27120,Delta Middle,0,614,0,0,0,0,0,614,0
27131,White River Academy,0,0,0,0,0,0,0,0,0
27133,Delta North School,427,0,0,0,0,0,427,0,0
27144,Delta South School,246,0,0,0,0,0,246,0,0
27316,Millard High,0,0,385,0,0,0,0,0,385
27319,Fillmore SchoolFillmore Middle,430,347,0,0,0,0,430,347,0
27409,Eskdale High,0,5,2,0,0,0,0,5,2
27410,Garrison School,14,0,0,0,0,0,14,0,0
29014,Morgan MiddleMorgan Online,0,493,0,0,0,0,0,493,0
29016,Morgan High,0,0,1140,0,0,0,0,0,1140
29017,Morgan SchoolMorgan Preschool,556,0,0,0,0,0,556,0,0
29041,Mountain Green SchoolMountain Green Preschool,424,0,0,0,0,0,424,0,0
29044,Mountain Green Middle,0,497,0,0,0,0,0,497,0
30025,Discovery School,448,0,0,0,0,0,448,0,0
30030,New Horizons Academy,0,0,0,0,0,0,0,0,0
30043,Golden Spike Elementary,774,0,0,0,0,0,774,0,0
30051,Triumph Academy,0,0,0,0,0,0,0,0,0
30053,Sunrise High School,0,0,161,0,0,0,0,0,161
30055,Box Elder Middle,0,1127,0,0,0,0,0,1127,0
30063,Box Elder High,0,0,1639,0,0,0,0,0,1639
30075,Catalyst Preparatory Academy,0,0,0,0,0,0,0,0,0
30077,Adele C. Young Intermediate,0,0,0,0,0,0,0,0,0
30079,Lake View School,573,0,0,0,0,0,573,0,0
30085,UTBS Academy - Brigham City,0,0,0,0,0,0,0,0,0
30095,Three Mile Creek School,530,0,0,0,0,0,530,0,0
30104,Promontory School of Expeditionary Learning,0,0,0,367,78,0,367,78,0
30125,Willard School,215,0,0,0,0,0,215,0,0
31001,Oscarson SchoolOscarson Preschool,24,0,0,0,0,0,24,0,0
31018,Piute HighUtah Peak Academy,144,86,72,0,0,0,144,86,72
31045,Circleville SchoolCircleville Preschool,105,0,0,0,0,0,105,0,0
31069,High Top Ranch School,0,0,0,0,0,0,0,0,0
33016,Rich Middle SchoolNorth Rich School,120,112,0,0,0,0,120,112,0
