CO_TAZID,PINST,Enrol_Elem,Enrol_Midl,Enrol_High
350364,MONTESSORI COMMUNITY SCHOOL OF SALT LAKE CITY,72,0,0
350386,REDEEMER LUTHERAN SCHOOL,35,5,0
350393,CARDEN MEMORIAL SCHOOL,221,70,0
350431,DANCING MOOSE MONTESSORI SCHOOL,37,0,0
350442,CHILDREN S CHRISTIAN SCHOOL,27,0,0
350490,IQRA ACADEMY OF UTAH,48,0,0
350507,SMALL WORLD CHILD CARE,20,0,0
350542,KEARNS-SAINT ANN SCHOOL,68,23,0
350594,ELIZABETH ACADEMY,115,0,0
350614,THE CHIRON ACADEMY,10,20,4
350616,REID SCHOOL,44,14,0
350650,MOUNT OLYMPUS PREPARATORY/EVA CARLSTON ACADEMY,0,0,36
350663,ST FRANCIS XAVIER CATHOLIC SCHOOL,136,25,0
350676,PRINCE OF PEACE EVANGELICAL LUTHERAN SCHOOL,62,16,0
350687,REALMS OF INQUIRY,0,0,25
350700,WASATCH CANYONS ACADEMY AT PRIMARY CHILDRENS HOSP,11,14,14
350704,BENNION LEARNING CENTER,0,0,0
350709,KIDS WORLD ACADEMY,7,0,0
350721,VALOR PREPARATORY ACADEMY,4,0,0
350744,MOUNT VERNON ACADEMY,34,13,51
350747,LA EUROPA ACADEMYLA EUROPA ACADEMY,0,0,62
350774,MOUNT OLYMPUS CHRISTIAN CHILD DEVELOPMENT CENTER,12,0,0
350778,ST VINCENT DE PAUL PARISH SCHOOL,150,45,0
350786,ST SOPHIA HELLENIC ORTHODOX SCHOOL,5,0,0
350795,INTERMOUNTAIN CHRISTIAN SCHOOL,127,67,69
350836,LEARNING TREE-SOUTHWEST,15,0,0
350851,COPPER HILLS YOUTH CENTER,0,0,98
350877,WEST RIDGE ACADEMY,1,16,5
350938,WILLOW CREEK MONTESSORI,24,0,0
350988,THE WATERFORD SCHOOL,394,264,234
350989,BLESSED SACRAMENT SCHOOLGRACE LUTHERAN SCHOOLGRACE LUTHERAN SCHOOL,164,40,0
351006,HILLTOP CHRISTIAN SCHOOL,12,0,0
351034,BELL CANYON MONTESSORI SCHOOL,13,0,0
351080,STILLWATER ACADEMY,0,0,27
351091,DAYBREAK ACADEMY,26,0,0
351096,ANTHEM PREPARATORY SCHOOL,96,25,19
351160,ST ANDREW CATHOLIC SCHOOL,86,21,0
351164,OXFORD ACADEMY,2,4,6
351193,HOLY TRINITY LUTHERAN SCHOOL,19,0,0
351202,GATEWAY ACADEMY,0,0,1
351204,ST JOHN THE BAPTIST MIDDLE SCHOOL,96,237,0
490282,NEW HAVEN SCHOOL,0,0,34
490402,NEW HOPE ACADEMY,20,11,4
490539,LIAHONA PREPARATORY ACADEMY,67,55,45
490567,NAHUNTA HALL,10,2,1
490603,KIDS VILLAGE,75,0,0
490616,TELOS ACADEMY,0,0,54
490656,ARCHES ACADEMY,63,12,0
490681,THE HERRITAGE SCHOOL,0,0,111
490685,PROVO CANYON SCHOOL-PROVO CAMPUS,10,9,0
490687,IVY HALL ACADEMY,128,37,7
490750,DISCOVERY ACADEMY,0,0,62
490840,PROVO CANYON SCHOOL - SPRINGVILLE CAMPUS,0,0,138
490844,MERIDIAN SCHOOL,0,0,60
490902,DISCOVERY RANCH,0,0,46
490970,NEW HAVEN SCHOOL,0,0,37
491030,MAPLE LAKE ACADEMY,0,0,25
530068,WESTSIDE CHRISTIAN SCHOOL,11,6,2
530095,TRINITY LUTHERAN SCHOOL,27,3,0
530236,CORAL SANDS ACADEMY,0,0,115
530536,DIAMOND RANCH ACADEMY,0,0,129
530635,SUNRISE ACADEMY,0,8,43
530764,KOLOB CANYON RTC,0,0,12
570181,CHILDRENS CLASSIC,38,0,0
570251,ST JOSEPH CATHOLIC HIGH SCHOOL,0,0,171
570265,ST JOSEPH CATHOLIC SCHOOL,215,64,0
570283,BEREAN BAPTIST ACADEMY,8,8,1
570301,DEAMUDE ADVENTIST CHRISTIAN SCHOOLDEAMUDE ADVENTIST CHRISTIAN,13,0,0
570390,NEW DISCOVERY MONTESSORI SCHOOL,6,0,0
570403,WASATCH CHRISTIAN SCHOOL,41,5,0
570416,PROVIDENCE MONTESSORI,134,0,0
570417,CHILDRENS CLASSIC #2,20,0,0
