CO_TAZID,PINST,Enrol_Elem,Enrol_Midl,Enrol_High
17126,TURN ABOUT RANCH,0,4,8
21034,RENEWED HOPE RANCH ACADEMY,0,0,28
21122,HAVENWOOD SCHOOLS,0,0,36
21173,TURNING POINT SCHOOL,0,10,10
21215,MOUNTAIN SPRINGS PREPARATORY ACADEMY,0,0,36
21245,MOONRIDGE ACADEMY,1,18,0
27131,WHITE RIVER ACADEMY,0,0,27
30030,NEW HORIZONS ACADEMY,4,3,12
30050,TRIUMPH ACADEMY,0,0,27
30075,CATALYST PREPARATORY ACADEMY,0,0,48
37037,LIFE MISSSION SCHOOL,0,0,5
39035,OXBOW ACADEMY,0,0,85
39075,ENSIGN PEAK ACADEMY,34,128,82
41163,FIELDSTONE ACADEMY,0,0,5
41293,SORENSON`S RANCH SCHOOL,0,0,65
43008,CREEKSIDE KIDS ACADEMY,7,0,0
43019,LITTLE MINERS MONTESSORI,32,0,0
43268,PARK CITY DAY SCHOOL,88,30,0
45160,ALPINE ACADEMY - MOUNTAIN VIEW CAMPUS,0,0,51
45231,ST MARGUERITE CATHOLIC SCHOOL,54,13,0
47053,UINTAH BASIN CHRISTIAN ACADEMY,55,6,0
50892,UINTA ACADEMY,0,0,38
50929,ELIAS ACADEMY,2,6,0
57031,WAYPOINT ACADEMY,0,0,24
110097,EVEVATIONS ACADEMY,0,0,43
110112,NORTHRIDGE LEARNING CENTER/DORIUS ACADEMYNORTHRIDGE LEARNING CENTER/DORIUS ACADEMY,0,0,448
110115,FAITH BAPTIST ACADEMY,18,0,0
110128,FERNWOOD ACADEMY,0,0,44
110251,MONTESSORI DISCOVERY ACADEMY,5,0,0
110260,ST OLAF CATHOLIC SCHOOL,127,20,0
110284,BENCHMARK SCHOOL,0,0,82
110299,KINDERCARE LEARNING CENTER-NORTH SALT LAKE,15,0,0
350134,THE MADELEINE CHOIR SCHOOL,292,89,0
350183,LOLIE ECCLES EARLY EDUCATION CENTER,17,0,0
350197,UNIVERSITY ACADEMY,6,13,26
350219,MISS BILLIES KIDS KAMPUS,13,0,0
350257,OUR LADY OF LOURDES CATHOLIC SCHOOLJUDGE MEMORIAL CATHOLIC HIGH SCHOOLROWLAND HALL,506,280,727
350260,THE MCGILLIS SCHOOL,262,89,0
350261,ROWLAND HALLCARMEN B PINGREE CENTER,403,233,224
350290,ST JOHN'S COMMUNITY CHILD DEVELOPMENT CENTER,0,0,0
350331,MONTESSORI CHILDRENS HOUSE,3,0,0
350359,GARFIELD ACADEMY,0,37,6
