maz_id,SchoolName,Public_Elem,Public_Midl,Public_High,PriCha_Elem,PriCha_Midl,PriCha_High,Enrol_Elem,Enrol_Midl,Enrol_High
27965,Telos Academy,0,0,0,0,0,0,0,0,0
27995,Cascade School,876,0,0,0,0,0,876,0,0
27999,Happy Hands Day Care & Pre School,0,0,0,0,0,0,0,0,0
28083,Parkside ElementaryKids on the Move,549,0,0,0,0,0,549,0,0
28126,Freedom Preparatory Academy - VineyardSoaring Eagles Preschool,0,0,0,505,0,0,505,0,0
28171,Canyon Crest School,485,0,0,0,0,0,485,0,0
28177,Sage Hills School,851,0,0,0,0,0,851,0,0
28212,A to Z Building Blocks Orem,0,0,0,0,0,0,0,0,0
28284,Lumen Scholar Institute,0,0,0,0,0,0,0,0,0
28308,Orem Jr High,0,975,0,0,0,0,0,975,0
28337,Provo Canyon School,0,0,0,0,0,0,0,0,0
28347,The Kids Connection,0,0,0,0,0,0,0,0,0
28360,Mountain Trails School,831,0,0,0,0,0,831,0,0
28413,Foothill School,488,0,0,0,0,0,488,0,0
28484,Orchard SchoolCanyon View Jr High,589,1075,0,0,0,0,589,1075,0
28534,Bonneville School,509,0,0,0,0,0,509,0,0
28547,Windsor School,549,0,0,0,0,0,549,0,0
28554,Timpanogos High,0,0,1572,0,0,0,0,0,1572
28601,Cedar Valley School,106,0,0,0,0,0,106,0,0
28620,Northridge School,393,0,0,0,0,0,393,0,0
28632,Karl G. Maeser Preparatory Academy,0,0,0,0,350,304,0,350,304
28642,Cascade Mountain High,0,0,0,0,0,0,0,0,0
28669,Montessori Learning Center,0,0,0,0,0,0,0,0,0
28671,Aspen School,416,0,0,0,0,0,416,0,0
28698,Frontier Middle School,0,1793,0,0,0,0,0,1793,0
28702,Saratoga Shores School,723,0,0,0,0,0,723,0,0
28721,Canyon School for the Arts,0,0,0,0,0,0,0,0,0
28724,Rocky Mountain School,480,0,0,0,0,0,480,0,0
28730,Oak Canyon Jr High,0,1303,0,0,0,0,0,1303,0
28734,Timpanogos AcademyNahunta HallGo Beyond KidsKurious Active Learning Community,0,0,0,490,0,0,490,0,0
28816,Lake Mountain Middle,0,1480,0,0,0,0,0,1480,0
28831,Lindon School,538,0,0,0,0,0,538,0,0
28877,Springside School,821,0,0,0,0,0,821,0,0
28949,Spectrum Academy - Pleasant Grove,0,0,0,325,196,183,325,196,183
28958,Hidden Hollow School,892,0,0,0,0,0,892,0,0
29054,Liahona Preparatory AcademyBreakOut School,0,0,0,0,0,0,0,0,0
29067,Ranches Academy,0,0,0,361,0,0,361,0,0
