maz_id,PINST,Enrol_Elem,Enrol_Midl,Enrol_High
7120,HOLY TRINITY LUTHERAN SCHOOL,19,0,0
7572,ST ANDREW CATHOLIC SCHOOL,86,21,0
7595,ST JOHN THE BAPTIST MIDDLE SCHOOL,96,237,0
7681,GATEWAY ACADEMY,0,0,1
7790,BELL CANYON MONTESSORI SCHOOL,13,0,0
8219,HILLTOP CHRISTIAN SCHOOL,12,0,0
8570,BLESSED SACRAMENT SCHOOL,88,19,0
8687,GRACE LUTHERAN SCHOOLGRACE LUTHERAN SCHOOL,76,21,0
8690,THE WATERFORD SCHOOL,394,264,234
8730,WEST RIDGE ACADEMY,1,16,5
8959,COPPER HILLS YOUTH CENTER,0,0,98
10333,BENNION LEARNING CENTER,0,0,0
10493,KIDS WORLD ACADEMY,7,0,0
10636,LA EUROPA ACADEMYLA EUROPA ACADEMY,0,0,62
10672,MOUNT VERNON ACADEMY,34,13,51
10805,ST FRANCIS XAVIER CATHOLIC SCHOOL,136,25,0
11001,ST VINCENT DE PAUL PARISH SCHOOL,150,45,0
11011,ST SOPHIA HELLENIC ORTHODOX SCHOOL,5,0,0
11171,PRINCE OF PEACE EVANGELICAL LUTHERAN SCHOOL,62,16,0
11329,SMALL WORLD CHILD CARE,20,0,0
11585,MOUNT OLYMPUS CHRISTIAN CHILD DEVELOPMENT CENTER,12,0,0
11886,THE CHIRON ACADEMY,10,20,4
11936,REID SCHOOL,44,14,0
12139,CARDEN MEMORIAL SCHOOL,221,70,0
12399,REDEEMER LUTHERAN SCHOOL,35,5,0
12420,KEARNS-SAINT ANN SCHOOL,68,23,0
12538,MONTESSORI CHILDRENS HOUSE,3,0,0
12654,ST JOHN'S COMMUNITY CHILD DEVELOPMENT CENTER,0,0,0
12755,ROWLAND HALL,403,232,223
12800,OUR LADY OF LOURDES CATHOLIC SCHOOLJUDGE MEMORIAL CATHOLIC HIGH SCHOOL,103,48,504
12801,THE MCGILLIS SCHOOL,262,89,0
12983,THE MADELEINE CHOIR SCHOOL,292,89,0
13586,ST OLAF CATHOLIC SCHOOL,127,20,0
13669,BENCHMARK SCHOOL,0,0,82
15117,FERNWOOD ACADEMY,0,0,44
15167,EVEVATIONS ACADEMY,0,0,43
15266,NORTHRIDGE LEARNING CENTER/DORIUS ACADEMYNORTHRIDGE LEARNING CENTER/DORIUS ACADEMY,0,0,448
15285,FAITH BAPTIST ACADEMY,18,0,0
16766,NEW DISCOVERY MONTESSORI SCHOOL,6,0,0
16961,BEREAN BAPTIST ACADEMY,8,8,1
17162,ST JOSEPH CATHOLIC SCHOOL,215,64,0
17623,CHILDRENS CLASSIC,38,0,0
18787,TRIUMPH ACADEMY,0,0,27
19468,LEARNING TREE-SOUTHWEST,15,0,0
19472,WILLOW CREEK MONTESSORI,24,0,0
19529,MOUNT OLYMPUS PREPARATORY/EVA CARLSTON ACADEMY,0,0,36
19633,Layton Christian Academy,315,135,130
19690,ST JOSEPH CATHOLIC HIGH SCHOOL,0,0,171
19764,CATALYST PREPARATORY ACADEMY,0,0,48
20790,OXFORD ACADEMY,2,4,6
20852,DAYBREAK ACADEMY,26,0,0
20861,STILLWATER ACADEMY,0,0,27
21199,INTERMOUNTAIN CHRISTIAN SCHOOL,127,67,69
21241,WASATCH CANYONS ACADEMY AT PRIMARY CHILDRENS HOSP,11,14,14
21304,VALOR PREPARATORY ACADEMY,4,0,0
21811,UNIVERSITY ACADEMY,6,13,26
22512,CHILDRENS CLASSIC #2,20,0,0
22542,PROVIDENCE MONTESSORI,134,0,0
22660,WASATCH CHRISTIAN SCHOOL,41,5,0
22866,DEAMUDE ADVENTIST CHRISTIAN SCHOOLDEAMUDE ADVENTIST CHRISTIAN,13,0,0
23111,NEW HORIZONS ACADEMY,4,3,12
23202,ANTHEM PREPARATORY SCHOOL,96,25,19
23235,REALMS OF INQUIRY,0,0,25
23353,ELIZABETH ACADEMY,115,0,0
23511,GARFIELD ACADEMY,0,37,6
23568,DANCING MOOSE MONTESSORI SCHOOL,37,0,0
23828,MISS BILLIES KIDS KAMPUS,13,0,0
23859,LOLIE ECCLES EARLY EDUCATION CENTER,17,0,0
23892,ROWLAND HALL,403,233,224
23893,CARMEN B PINGREE CENTER,0,0,0
24142,MONTESSORI COMMUNITY SCHOOL OF SALT LAKE CITY,72,0,0
24219,KINDERCARE LEARNING CENTER-NORTH SALT LAKE,15,0,0
24244,MONTESSORI DISCOVERY ACADEMY,5,0,0
24342,IQRA ACADEMY OF UTAH,48,0,0
24419,CHILDREN S CHRISTIAN SCHOOL,27,0,0
25827,NEW HAVEN SCHOOL,0,0,37
26211,MAPLE LAKE ACADEMY,0,0,25
26224,DISCOVERY RANCH,0,0,46
26757,MERIDIAN SCHOOL,0,0,60
27839,ARCHES ACADEMY,63,12,0
27965,TELOS ACADEMY,0,0,54
28734,NAHUNTA HALL,10,2,1
29054,LIAHONA PREPARATORY ACADEMY,67,55,45
30746,NEW HOPE ACADEMY,20,11,4
31199,PROVO CANYON SCHOOL - SPRINGVILLE CAMPUS,0,0,138
31227,IVY HALL ACADEMY,128,37,7
31228,PROVO CANYON SCHOOL-PROVO CAMPUS,10,9,0
31836,DISCOVERY ACADEMY,0,0,62
32140,THE HERRITAGE SCHOOL,0,0,111
32169,KIDS VILLAGE,75,0,0
32249,NEW HAVEN SCHOOL,0,0,34
