maz_id,Enrol_Elem,Enrol_Midl,Enrol_High
44,11,0,0
6818,537,0,0
6858,782,0,0
6859,713,0,0
6862,488,0,0
6891,0,1200,0
6913,544,0,2746
6928,736,0,0
6939,359,163,0
6943,838,0,0
7042,128,48,110
7062,0,1182,0
7070,499,105,0
7111,0,0,0
7113,0,0,0
7120,19,0,0
7133,563,0,0
7167,679,0,0
7177,657,0,0
7220,0,0,0
7230,0,1263,0
7234,0,1414,0
7246,0,0,0
7263,0,0,2437
7282,680,0,0
7301,592,0,0
7396,0,0,2302
7405,0,0,0
7415,741,0,0
7426,417,41,0
7457,573,0,0
7505,343,0,0
7572,86,21,0
7580,354,0,0
7587,0,0,2521
7588,0,1094,0
7593,759,0,0
7595,96,237,0
7660,731,292,0
7681,0,0,1
7704,701,0,0
7718,0,1075,0
7737,0,180,173
7745,369,82,0
7760,516,0,0
7790,13,0,0
7808,0,0,0
7812,0,0,0
7814,1070,491,228
7888,647,0,0
7923,863,0,0
7925,902,0,0
8001,0,0,2276
8002,560,0,0
8054,783,0,0
8075,792,0,0
8127,0,200,174
8219,12,0,0
8338,854,1317,0
8351,556,0,0
8437,0,516,0
8447,0,1189,0
8519,0,0,2460
8544,325,0,0
8561,303,0,0
8570,88,19,0
8584,580,0,0
8658,626,0,0
8678,701,0,0
8687,76,21,0
8690,697,264,234
8701,0,0,185
8730,1,16,5
8749,0,750,0
8771,0,0,0
8868,0,0,0
8870,0,0,0
8871,637,0,0
8878,0,0,0
8907,0,0,40
8927,366,0,0
8957,553,0,0
8959,0,0,98
8977,631,0,0
9059,490,0,0
9100,591,0,0
9107,497,0,0
9127,0,0,0
9131,592,0,0
9133,359,0,0
9145,0,0,2845
9167,462,0,0
9260,694,0,0
9311,560,0,0
9369,0,1383,0
9373,0,0,165
9384,364,0,0
9504,340,0,0
9508,872,0,0
9541,0,1170,0
9583,630,0,0
9584,0,805,0
9607,547,215,0
9611,723,0,0
9615,1073,0,0
9626,0,913,0
9747,606,0,0
9811,30,22,27
9834,0,914,0
9897,492,0,0
9904,0,0,0
9920,596,0,0
9931,0,0,0
9951,525,0,0
9989,600,0,0
9997,596,0,0
10004,320,1001,0
10009,403,0,0
10044,0,0,0
10060,479,0,0
10103,0,0,0
10120,0,0,0
10137,332,43,0
10333,0,0,0
10342,298,0,0
10382,323,0,0
10393,483,0,0
10422,674,0,0
10454,0,0,0
10468,0,1023,0
10483,408,0,0
10486,553,0,0
10493,7,0,0
10518,244,0,0
10521,322,0,0
10533,584,0,0
10550,495,0,0
10583,0,0,1911
10591,417,0,0
10617,0,917,0
10636,0,0,62
10640,433,0,0
10662,315,0,0
10671,0,619,0
10672,34,13,51
10721,480,0,0
10767,0,0,0
10805,136,25,0
10847,0,0,1360
10855,0,698,0
10896,0,0,0
10913,0,731,0
10926,340,0,0
10938,669,0,0
10952,547,28,2699
10964,0,0,0
10990,454,0,0
11001,150,45,0
11011,5,0,0
11016,385,0,0
11018,507,0,0
11023,399,0,0
11044,509,0,0
11089,511,117,0
11095,380,0,0
11103,0,0,0
11171,62,16,0
11230,0,0,0
11237,0,0,0
11275,0,774,0
11329,20,0,0
11352,0,1039,0
11360,279,0,0
11371,0,521,0
11383,437,0,0
11390,505,0,0
11399,326,0,0
11416,437,0,0
11429,364,0,0
11458,467,0,0
11461,0,0,2490
11493,566,0,0
11552,0,0,0
11578,399,0,0
11585,12,0,0
11606,0,0,2156
11629,426,0,0
11635,615,0,0
11682,0,668,0
11704,354,0,0
11729,444,0,0
11744,403,0,0
11750,18,80,448
11752,0,830,0
11784,1027,89,169
11830,0,1052,0
11832,0,0,0
11843,411,0,0
11848,435,0,0
11854,0,0,3267
11863,0,0,2176
11886,10,633,4
11936,44,14,0
11965,576,0,0
11985,674,0,0
11991,410,0,0
12002,0,0,0
12033,271,0,0
12071,511,0,0
12072,0,725,0
12089,723,0,0
12127,484,0,0
12130,0,800,0
12139,221,70,0
12140,542,0,0
12173,524,0,0
12190,300,0,0
12218,548,142,0
12227,478,0,0
12229,448,0,0
12274,412,72,0
12292,0,0,95
12312,257,361,262
12319,567,135,0
12329,468,0,0
12396,0,0,0
12399,35,5,0
12404,643,0,0
12420,68,23,0
12463,432,0,0
12538,3,0,0
12561,0,567,0
12571,592,680,0
12589,396,0,0
12599,453,0,0
12608,0,0,0
12610,464,0,0
12614,0,0,0
12632,417,0,0
12640,414,0,0
12654,0,0,0
12719,314,0,0
12745,0,415,0
12755,403,232,223
12757,0,0,1771
12785,0,0,0
12800,103,48,504
12801,262,89,0
12818,0,0,0
12833,0,0,0
12854,312,0,0
12915,0,360,0
12928,0,0,0
12932,388,0,0
12983,292,89,0
13002,235,44,0
13068,0,0,0
13128,356,0,0
13188,361,0,0
13205,381,0,0
13248,574,81,0
13254,0,0,0
13255,370,0,366
13260,318,0,0
13265,292,0,0
13332,764,256,0
13360,349,0,0
13374,0,0,0
13377,520,0,0
13383,0,0,0
13452,465,0,0
13464,0,954,0
13486,596,0,0
13534,0,0,1555
13556,548,0,0
13586,127,20,0
13588,473,0,0
13599,0,1092,0
13622,425,0,0
13668,457,0,0
13669,0,0,82
13671,0,674,0
13681,509,0,0
13703,431,0,0
13739,0,630,0
13743,312,0,0
13757,338,0,0
13772,0,0,1568
13814,0,971,0
13857,386,0,0
13909,522,0,0
13954,414,0,0
14020,721,0,0
14054,444,0,0
14056,0,0,267
14058,0,1266,0
14074,454,0,0
14155,614,0,0
14180,644,0,0
14225,484,0,0
14241,505,0,0
14275,488,957,0
14311,555,858,0
14312,0,0,148
14326,0,10,17
14329,0,0,2488
14360,714,0,0
14394,483,0,0
14450,599,0,0
14495,0,1226,0
14503,622,0,0
14560,542,972,0
14598,0,0,0
14601,587,0,0
14656,869,0,0
14663,520,0,0
14727,682,0,0
14739,361,0,0
14762,0,1125,0
14801,705,262,0
14809,291,879,0
14879,565,0,0
14921,914,0,0
14981,507,0,0
15072,442,0,0
15103,325,0,0
15117,0,0,44
15161,602,0,0
15167,0,0,43
15171,600,0,0
15219,638,0,0
15258,644,0,0
15266,0,0,448
15285,18,0,0
15304,0,0,1991
15408,0,0,0
15439,695,0,0
15483,447,0,0
15646,603,0,0
15658,442,0,0
15659,0,1556,0
15706,427,0,0
15712,863,0,0
15746,370,298,0
15806,741,0,0
15902,465,0,0
15964,594,0,0
15980,529,0,0
16148,629,0,0
16271,318,0,0
16318,784,0,0
16407,516,0,0
16435,405,0,0
16439,0,961,0
16456,380,801,0
16477,0,351,246
16483,0,612,0
16484,0,0,0
16541,374,0,0
16586,443,0,0
16589,373,0,0
16615,0,0,1382
16675,502,0,0
16698,571,0,0
16713,526,0,0
16755,0,797,0
16766,438,0,0
16772,286,0,0
16810,579,0,0
16839,488,0,0
16851,383,0,0
16899,0,0,0
16961,8,8,1
16976,742,268,0
16986,0,0,0
17041,357,0,0
17087,537,0,0
17146,475,0,0
17162,215,64,0
17170,722,0,0
17182,0,0,1133
17195,0,12,271
17233,522,0,0
17308,0,0,0
17392,666,0,0
17442,0,0,0
17447,0,799,0
17454,0,0,1258
17517,0,0,0
17525,0,563,0
17531,696,291,0
17574,16,0,0
17613,0,0,1186
17623,38,0,0
17669,632,0,0
17675,0,650,0
17683,385,0,0
17685,438,0,0
17691,0,0,0
17693,625,0,0
17723,0,0,0
17737,394,0,0
17743,0,0,0
17858,462,0,0
17962,0,0,1443
17980,497,0,0
17991,0,1004,0
18088,618,0,0
18120,0,1034,0
18151,531,0,0
18224,0,863,0
18247,690,0,0
18305,448,0,0
18333,429,0,0
18389,0,0,2002
18551,367,78,0
18565,530,0,0
18621,0,0,0
18671,0,1009,0
18756,0,0,1639
18766,0,0,161
18787,0,0,27
18790,0,0,0
18794,0,1127,0
18841,774,0,0
18926,448,0,0
19363,1047,559,434
19402,649,0,0
19427,566,0,0
19428,621,0,0
19435,468,0,63
19464,0,943,0
19468,15,765,1760
19471,0,0,2437
19472,24,0,0
19509,542,0,0
19512,0,637,0
19529,0,0,36
19549,386,89,0
19569,675,0,0
19608,485,0,0
19633,315,135,130
19637,819,0,0
19642,0,0,0
19664,0,697,1660
19690,0,0,171
19698,717,0,0
19722,602,0,0
19764,0,0,48
20617,831,0,0
20622,607,223,0
20651,0,0,599
20659,0,937,0
20743,0,0,0
20746,879,0,0
20759,0,0,0
20784,0,0,0
20786,0,0,0
20787,0,0,0
20790,2,4,6
20797,0,0,0
20807,0,0,0
20808,0,0,0
20852,26,0,0
20861,0,0,27
20966,0,0,1820
20969,0,302,124
21006,0,0,0
21033,0,0,366
21055,0,0,0
21067,0,0,0
21136,0,0,2425
21172,219,0,0
21199,127,67,69
21214,0,0,0
21233,0,0,0
21241,11,14,14
21248,454,0,0
21250,0,0,2321
21257,0,0,0
21276,0,0,0
21281,0,0,0
21304,4,0,0
21326,0,807,0
21343,0,0,0
21397,0,0,0
21543,0,0,0
21566,0,0,224
21615,0,0,325
21617,195,70,36
21706,0,0,254
21738,352,82,0
21743,1057,407,0
21811,6,13,26
21843,0,0,0
21943,0,795,1717
22011,578,0,0
22063,0,0,0
22084,332,0,0
22089,0,0,0
22119,105,0,0
22168,0,0,0
22178,0,0,0
22203,0,0,2229
22304,0,0,0
22318,0,0,0
22325,0,960,0
22333,0,95,167
22336,0,1218,0
22338,862,0,0
22343,0,0,0
22352,0,0,0
22370,522,0,0
22373,0,0,2040
22375,690,941,0
22399,0,0,2607
22403,0,0,0
22405,730,0,0
22423,430,0,0
22461,341,0,0
22479,0,927,0
22512,20,0,0
22517,0,0,0
22539,0,0,0
22542,134,0,0
22561,0,0,0
22569,0,0,0
22576,558,0,0
22579,0,0,0
22623,33,0,0
22634,0,0,0
22654,504,0,0
22660,41,5,0
22663,0,0,0
22737,505,0,0
22743,0,806,0
22744,0,0,0
22757,0,0,0
22866,13,0,0
22882,735,313,230
22904,0,0,0
22911,0,70,549
22963,0,0,24
22972,327,213,261
22978,297,57,0
23006,317,85,0
23040,704,0,0
23047,215,0,0
23081,573,0,0
23111,4,3,12
23178,0,0,397
23202,96,25,19
23204,0,0,0
23206,0,13,349
23210,435,0,0
23211,0,0,0
23214,229,133,316
23229,0,0,0
23235,0,0,25
23319,0,0,1972
23323,299,86,0
23324,0,0,2191
23340,0,0,672
23353,115,0,0
23373,0,0,0
23383,308,0,0
23412,0,542,0
23435,409,0,0
23486,471,0,0
23511,0,37,6
23527,478,0,0
23568,37,0,0
23627,420,0,0
23805,417,0,0
23828,13,0,0
23859,17,0,0
23861,0,0,0
23892,403,233,224
23893,0,0,0
23958,0,0,0
23969,0,1152,0
24053,0,47,46
24064,0,0,0
24142,401,485,0
24143,0,0,0
24158,372,0,0
24178,334,0,0
24219,15,0,0
24235,0,0,1545
24244,5,0,0
24271,323,0,0
24276,429,0,0
24299,304,0,0
24302,0,548,0
24308,272,0,0
24342,48,0,0
24343,418,0,0
24364,673,0,0
24365,0,0,0
24419,27,0,0
24422,670,585,305
24434,476,0,0
24450,455,0,0
24453,649,0,0
24510,704,0,0
24530,713,0,0
24533,516,0,0
24534,0,0,2770
24549,0,0,0
24550,0,0,0
24558,642,0,0
24571,407,0,0
24574,354,0,0
24635,304,0,0
24676,725,0,0
24798,0,0,0
24803,576,0,0
24814,224,0,0
24870,675,0,0
24974,507,0,0
25102,0,1144,1647
25202,313,0,0
25232,331,0,0
25263,441,129,0
25293,394,0,0
25316,591,0,0
25375,0,964,0
25392,603,0,0
25410,478,0,0
25434,507,0,0
25493,0,0,1600
25509,0,957,0
25612,411,0,0
25680,425,0,0
25707,0,0,0
25725,471,0,0
25797,844,397,351
25827,0,0,37
25863,0,1073,0
25925,384,0,0
25929,0,0,309
25933,663,0,0
26005,436,0,0
26018,568,0,0
26021,0,0,1898
26029,0,1074,0
26094,0,7,1634
26143,0,0,0
26163,454,0,0
26211,0,0,25
26224,0,0,46
26243,869,0,0
26262,0,1196,0
26316,590,0,0
26354,0,0,0
26387,0,1314,0
26443,429,0,0
26533,415,0,0
26601,0,1038,0
26648,0,0,1664
26649,360,0,0
26653,406,0,0
26663,656,0,0
26704,0,0,90
26715,0,1086,0
26757,0,220,293
26760,415,0,0
26817,612,0,0
26836,557,126,0
26918,437,0,0
26923,421,9,23
27005,0,877,0
27047,510,0,0
27072,366,0,0
27116,375,0,0
27137,520,0,0
27278,534,0,0
27308,693,0,0
27336,671,376,194
27353,604,0,0
27476,634,0,0
27499,488,1080,0
27548,0,0,0
27585,496,0,0
27605,0,1348,0
27614,609,0,0
27731,690,0,0
27740,716,0,0
27745,713,0,0
27839,63,12,0
27853,618,0,0
27900,0,0,1285
27907,720,0,0
27913,0,0,1654
27962,0,0,0
27965,0,0,54
27995,876,0,0
27999,0,0,0
28083,549,0,0
28126,505,0,0
28171,485,0,0
28177,851,0,0
28212,0,0,0
28284,0,0,0
28308,0,975,0
28337,0,0,0
28347,0,0,0
28360,831,0,0
28413,488,0,0
28484,589,1075,0
28534,509,0,0
28547,549,0,0
28554,0,0,1572
28601,106,0,0
28620,393,0,0
28632,0,350,304
28642,0,0,0
28669,0,0,0
28671,416,0,0
28698,0,1793,0
28702,723,0,0
28721,0,0,0
28724,480,0,0
28730,0,1303,0
28734,500,2,1
28816,0,1480,0
28831,538,0,0
28877,821,0,0
28949,325,196,183
28958,892,0,0
29054,67,55,45
29067,361,0,0
29089,0,0,1957
29116,975,0,0
29119,0,0,0
29123,420,0,0
29256,0,0,3155
29276,594,0,0
29278,887,159,0
29366,1062,19,112
29367,782,279,0
29368,0,1689,0
29404,479,94,0
29466,658,0,0
29494,585,0,0
29546,681,1183,0
29572,1111,0,0
29669,0,0,0
29694,769,0,0
29715,0,109,178
29722,0,0,0
29724,0,0,0
29742,558,28,184
29779,546,0,0
29780,540,0,0
29782,0,0,0
29805,821,0,0
29870,0,0,0
29929,574,0,0
29980,0,0,0
30045,0,1594,0
30047,732,0,0
30068,0,0,2387
30113,0,0,0
30130,0,0,2299
30157,958,0,0
30162,932,0,0
30228,521,126,0
30244,0,0,0
30261,604,0,0
30268,476,0,0
30311,574,337,0
30320,766,1840,0
30337,988,0,0
30343,0,1382,0
30393,505,0,0
30501,1057,0,0
30531,0,169,188
30540,662,0,0
30570,824,0,0
30643,623,0,0
30651,0,963,0
30667,0,0,2562
30696,701,0,0
30704,234,0,0
30746,20,11,4
30751,0,114,2500
30781,584,0,0
30821,0,0,0
30822,645,97,0
30867,0,1678,0
30940,445,44,0
30946,702,0,0
30978,0,0,0
30993,661,0,0
30997,836,0,0
31021,547,1329,0
31039,535,0,0
31066,901,0,0
31147,0,1035,0
31176,723,0,0
31199,0,0,138
31203,591,0,0
31206,0,0,276
31215,0,0,2301
31223,204,103,79
31227,128,37,7
31228,10,9,0
31257,1044,0,0
31297,782,0,0
31298,1074,0,0
31334,461,32,0
31370,1087,0,0
31406,849,220,0
31436,711,0,0
31468,637,0,0
31553,0,0,0
31619,0,0,3
31711,0,0,0
31793,0,0,0
31815,0,0,0
31836,0,0,62
31856,0,0,0
31874,633,0,0
31926,0,0,2026
31927,0,0,0
31931,0,0,0
31964,0,0,0
32072,0,0,509
32084,520,0,0
32140,0,0,111
32152,776,0,0
32156,0,0,0
32163,0,0,3325
32169,75,0,0
32249,0,0,34
32309,0,0,0
32370,0,19,216
